Year,Home_Team,HTScore,Away_Team,ATScore,Winner,Winning_score,Loser,Losing_score,Draw
1998,"
London Scottish ",16," Richmond
",28," Richmond
",28,"
London Scottish ",16,0

1998,"
Newcastle Falcons ",30," Sale Sharks
",15,"
Newcastle Falcons ",30," Sale Sharks
",15,0

1998,"
West Hartlepool", 9," Northampton Saints
",33,"
West Hartlepool", 9," Northampton Saints
",33,0

1998,"
Leicester Tigers ",26,"Bedford Blues
",0 ,"
Leicester Tigers ",26,"Bedford Blues
",0 ,0

1998,"
Richmond ",13," London Irish
",25," London Irish
",25,"
Richmond ",13,0

1998,"
Harlequins ",17," Sale Sharks
",15,"
Harlequins ",17," Sale Sharks
",15,0

1998,"
Newcastle Falcons ",29," West Hartlepool
",13,"
Newcastle Falcons ",29," West Hartlepool
",13,0

1998,"
Wasps ",23,"Gloucester Rugby
",9 ,"Gloucester Rugby
",9 ,"
Wasps ",23,0

1998,"
Saracens", 7," London Scottish
",24,"
Saracens", 7," London Scottish
",24,0

1998,"
Gloucester Rugby ",23,"Bath Rugby
",7 ,"Bath Rugby
",7 ,"
Gloucester Rugby ",23,0

1998,"
London Irish ",16," Newcastle Falcons
",14,"
London Irish ",16," Newcastle Falcons
",14,0

1998,"
London Scottish ",24," Harlequins
",35," Harlequins
",35,"
London Scottish ",24,0

1998,"
Sale Sharks ",24," Northampton Saints
",39," Northampton Saints
",39,"
Sale Sharks ",24,0

1998,"
Saracens ",44," Bedford Blues
",13,"
Saracens ",44," Bedford Blues
",13,0

1998,"
West Hartlepool ",21," Wasps
",17,"
West Hartlepool ",21," Wasps
",17,0

1998,"
London Scottish ",24," Gloucester Rugby
",13,"
London Scottish ",24," Gloucester Rugby
",13,0

1998,"
Newcastle Falcons ",34," Bedford Blues
",23,"
Newcastle Falcons ",34," Bedford Blues
",23,0

1998,"
Northampton Saints", 8," London Irish
",32,"
Northampton Saints", 8," London Irish
",32,0

1998,"
Sale Sharks ",30," Bath Rugby
",32," Bath Rugby
",32,"
Sale Sharks ",30,0

1998,"
Wasps ",15," Saracens
",15,Draw,0,Draw,0,1

1998,"
Leicester Tigers ",24," London Scottish
",12,"
Leicester Tigers ",24," London Scottish
",12,0

1998,"
Bath Rugby ",16," Newcastle Falcons
",11,"
Bath Rugby ",16," Newcastle Falcons
",11,0

1998,"
Harlequins ",17," Northampton Saints
",24," Northampton Saints
",24,"
Harlequins ",17,0

1998,"
London Irish ",43," West Hartlepool
",21,"
London Irish ",43," West Hartlepool
",21,0

1998,"
Gloucester Rugby ",24," Richmond
",24,Draw,0,Draw,0,1

1998,"
Harlequins ",17," London Irish
",22," London Irish
",22,"
Harlequins ",17,0

1998,"
Leicester Tigers ",23," Gloucester Rugby
",16,"
Leicester Tigers ",23," Gloucester Rugby
",16,0

1998,"
Bedford Blues ",17," Bath Rugby
",30," Bath Rugby
",30,"
Bedford Blues ",17,0

1998,"
Northampton Saints ",19," West Hartlepool
",14,"
Northampton Saints ",19," West Hartlepool
",14,0

1998,"
Richmond ",40," London Scottish
",22,"
Richmond ",40," London Scottish
",22,0

1998,"
Sale Sharks ",20," Newcastle Falcons
",28," Newcastle Falcons
",28,"
Sale Sharks ",20,0

1998,"
Richmond ",11," Leicester Tigers
",23," Leicester Tigers
",23,"
Richmond ",11,0

1998,"
Harlequins", 9," Leicester Tigers
",34,"
Harlequins", 9," Leicester Tigers
",34,0

1998,"
Northampton Saints ",18," Saracens
",21," Saracens
",21,"
Northampton Saints ",18,0

1998,"
Sale Sharks", 7," London Scottish
",23,"
Sale Sharks", 7," London Scottish
",23,0

1998,"
Wasps ",35,"Bath Rugby
",0 ,"
Wasps ",35,"Bath Rugby
",0 ,0

1998,"
London Irish ",42," Gloucester Rugby
",20,"
London Irish ",42," Gloucester Rugby
",20,0

1998,"
Leicester Tigers ",31," London Irish
",10,"
Leicester Tigers ",31," London Irish
",10,0

1998,"
Bedford Blues ",25," Wasps
",23,"
Bedford Blues ",25," Wasps
",23,0

1998,"
Gloucester Rugby ",20," Harlequins
",31," Harlequins
",31,"
Gloucester Rugby ",20,0

1998,"
London Scottish ",27," Newcastle Falcons
",17,"
London Scottish ",27," Newcastle Falcons
",17,0

1998,"
Richmond ",29," Sale Sharks
",24,"
Richmond ",29," Sale Sharks
",24,0

1998,"
Saracens ",48," West Hartlepool
",27,"
Saracens ",48," West Hartlepool
",27,0

1998,"
Bedford Blues", 7," Sale Sharks
",18,"
Bedford Blues", 7," Sale Sharks
",18,0

1998,"
London Scottish ",15," Bedford Blues
",24," Bedford Blues
",24,"
London Scottish ",15,0

1998,"
Richmond ",23," Bath Rugby
",30," Bath Rugby
",30,"
Richmond ",23,0

1998,"
Sale Sharks ",32," Saracens
",24,"
Sale Sharks ",32," Saracens
",24,0

1998,"
Northampton Saints ",15," Leicester Tigers
",22," Leicester Tigers
",22,"
Northampton Saints ",15,0

1998,"
Wasps ",38," London Irish
",27,"
Wasps ",38," London Irish
",27,0

1998,"
West Hartlepool ",33," Gloucester Rugby
",32,"
West Hartlepool ",33," Gloucester Rugby
",32,0

1998,"
Bedford Blues ",19," Gloucester Rugby
",15,"
Bedford Blues ",19," Gloucester Rugby
",15,0

